ObsID,Triad1A,Triad1B,Triad1C,Triad2A,Triad2B,Triad2C,Triad3A,Triad3B,Triad3C,Factor1,Factor2,FactorC,Time
69,28.294472,44.581272,27.124256,28.540775,44.08866,27.37056,28.048166,45.073883,26.877953,Pluto,Yes,D,Time1
70,33.18366,35.221672,31.594673,35.016335,33.25123,31.732437,6.376025,91.37931,2.244668,Pluto,Yes,A,Time1
71,48.041084,6.8965526,45.062363,8.08616,9.359604,82.55424,5.062358,6.8965516,88.041084,Mars,Yes,A,Time1
72,50.145687,0.98522186,48.86909,93.95347,4.4334946,1.6130401,95.230064,4.4334946,0.3364441,Mars,No,D,Time1
73,32.198433,37.19212,30.609447,15.4830675,9.605911,74.911026,10.878404,81.52709,7.594507,Venus,No,C,Time1
74,32.27754,38.423645,29.298819,37.002407,31.5271,31.470493,29.702333,41.87192,28.425741,Mars,No,A,Time1
75,8.385913,86.206894,5.4071927,27.844042,47.29064,24.86532,84.390526,7.38916,8.220313,Mars,No,D,Time1
76,51.065834,0.7431183,48.191055,4.8725343,94.83179,0.2956787,29.77139,41.629814,28.598795,Jupiter,Yes,D,Time1
77,92.856094,4.9261093,2.2177963,4.108579,89.655174,6.236245,6.6397657,93.10345,0.2567871,Mercury,No,C,Time1
78,63.72183,35.960594,0.3175757,6.841001,90.14778,3.011216,88.17524,4.9261093,6.898647,Jupiter,No,A,Time1
79,29.528734,45.07389,25.397375,23.06426,43.596058,33.33968,28.401571,6.650245,64.94818,Venus,Yes,A,Time1
80,13.065929,80.54187,6.3921995,70.647125,14.532021,14.820854,11.48582,45.566505,42.947678,Venus,Yes,C,Time1
81,34.13583,33.004932,32.859238,49.227543,1.9704437,48.802013,34.24798,34.482758,31.26926,Mars,No,A,Time1
82,76.53171,11.087952,12.3803425,82.80252,9.610107,7.5873694,81.593,8.624893,9.782104,Jupiter,Yes,C,Time1
83,95.9811,3.6945806,0.3243201,0.040963136,3.2019653,96.75707,0.10984039,2.216751,97.67341,Mars,No,D,Time1
84,74.823875,0.24630737,24.929813,78.30347,11.083748,10.612786,11.72586,81.52709,6.747051,Jupiter,Yes,A,Time1
85,87.36925,7.38916,5.2415905,7.8398495,9.852219,82.30793,3.9744287,91.62561,4.399956,Mars,Yes,C,Time1
86,31.21321,39.162563,29.624228,6.3029637,50,43.697037,32.691044,36.206894,31.102062,Jupiter,No,C,Time1
87,41.34672,9.117499,49.535774,31.00292,39.16676,29.830322,29.77139,41.629814,28.598795,Mars,No,B,Time1
88,47.922325,3.2019653,48.875713,38.070103,22.906403,39.023495,9.400571,84.48275,6.116675,Mars,No,A,Time1
89,91.073784,4.187187,4.7390337,5.814526,93.349754,0.83571774,4.9086323,0.24630737,94.845055,Jupiter,Yes,C,Time1
90,10.275162,59.85222,29.872623,20.292276,13.546799,66.16093,10.287685,86.945816,2.766494,Mars,No,A,Time1
91,11.47955,82.01971,6.500742,35.577827,31.280783,33.14139,6.3530617,58.374386,35.272552,Jupiter,No,A,Time1
92,82.185905,10.098526,7.715568,8.6345215,10.591133,80.774345,12.464773,80.04926,7.4859643,Uranus,Yes,A,Time1
93,29.518295,39.162563,31.319145,27.026022,47.53694,25.437037,27.042719,16.995071,55.96221,Pluto,No,B,Time1
94,14.566724,10.591133,74.84214,14.08454,17.487686,68.42777,31.321749,40.640396,28.037855,Pluto,No,A,Time1
95,53.4308,3.2019653,43.367237,29.793823,35.221672,34.98451,35.75525,31.773397,32.47135,Jupiter,Yes,C,Time1
96,83.10224,9.1132965,7.784453,81.584755,9.605911,8.809333,29.626837,40.640396,29.732767,Venus,No,D,Time1
97,9.515376,49.507393,40.97723,41.47872,13.546799,44.974483,24.688206,23.39901,51.912785,Mars,No,D,Time1
98,51.168125,41.625614,7.2062597,72.20428,16.502466,11.29326,75.19961,13.054185,11.746212,Venus,No,D,Time1
99,45.43004,11.576355,42.993603,41.4495,16.995071,41.555428,30.40541,41.625614,27.968975,Pluto,No,A,Time1
100,37.913555,34.236458,27.84999,30.7206,40.14778,29.131615,30.227991,41.133003,28.639008,Mars,Yes,C,Time1
101,43.382244,3.4482803,53.169476,30.17084,25.61576,44.213398,30.77665,35.46798,33.75537,Jupiter,Yes,B,Time1
102,25.164116,52.95566,21.88022,80.24469,10.591133,9.164179,81.229904,8.620689,10.1494,Pluto,Yes,C,Time1
103,30.443243,41.137207,28.419552,30.264029,40.6446,29.091373,29.525116,42.122425,28.352457,Pluto,No,B,Time1
104,76.264145,16.00985,7.7260075,12.064016,13.054185,74.881805,12.103664,15.517242,72.37909,Venus,Yes,C,Time1
105,52.11994,0.7389221,47.141132,53.36608,46.551723,0.08218994,50.750656,5.172417,44.076923,Mars,No,A,Time1
106,46.542587,1.7241365,51.733273,95.37995,3.2019653,1.418085,27.656395,44.581284,27.762321,Mars,No,C,Time1
107,70.79533,18.4729,10.7317705,28.08012,44.581284,27.338596,34.38596,36.206894,29.40715,Venus,No,B,Time1
108,80.44859,5.911331,13.640079,69.026306,4.9261093,26.047585,27.869198,71.92118,0.20962158,Venus,Yes,B,Time1
109,32.879158,10.837433,56.28341,7.302166,8.37439,84.32343,0.4706015,2.4630585,97.06634,Mars,No,A,Time1
110,9.933711,83.00492,7.0613675,9.253485,8.620682,82.12583,10.247097,81.527084,8.225818,Pluto,Yes,C,Time1
111,82.99371,7.6354685,9.370826,24.621407,45.566505,29.812088,29.50786,33.25123,37.240906,Venus,Yes,B,Time1
112,19.872723,55.91133,24.215944,46.10425,53.448277,0.4474707,16.52464,79.55665,3.9187112,Mars,No,D,Time1
113,12.095162,9.852219,78.05262,6.8630075,86.69951,6.4374804,7.7811522,85.71429,6.5045605,Uranus,No,A,Time1
114,54.404533,39.162563,6.432903,8.385259,86.945816,4.668921,13.983211,76.60098,9.415809,Mercury,No,C,Time1
115,26.185932,40.394093,33.419975,28.358667,42.857136,28.784195,28.067291,40.8867,31.046013,Mars,No,B,Time1
116,45.361153,12.561578,42.077263,33.5385,36.206894,30.254606,30.858364,38.17734,30.96429,Venus,No,B,Time1
117,64.26135,28.817728,6.920924,12.098053,10.5911255,77.31082,7.6488333,79.06403,13.287134,Mercury,No,D,Time1
118,79.32835,11.576355,9.095298,11.72586,81.52709,6.747051,70.60747,12.068962,17.32357,Jupiter,No,A,Time1
119,7.0063963,88.423645,4.5699606,17.486902,44.581284,37.931816,69.34672,17.980293,12.672988,Mars,No,D,Time1
120,48.03086,4.679802,47.289337,9.193921,87.43843,3.3676512,8.865612,90.83845,0.295943,Jupiter,Yes,B,Time1
121,46.484146,8.620689,44.89516,5.6871905,1.2315292,93.081276,6.110921,1.2315292,92.65755,Mars,Yes,B,Time1
122,11.617317,80.04926,8.333421,15.391218,77.586205,7.022576,76.9634,12.068962,10.967638,Pluto,Yes,C,Time1
123,10.506854,11.083748,78.40939,27.341206,46.059113,26.599682,14.257796,75.61576,10.126438,Venus,Yes,B,Time1
124,11.285429,12.068962,76.64561,80.91473,10.098526,8.986754,10.730203,77.586205,11.683592,Mars,Yes,B,Time1
125,42.877235,5.665024,51.457745,4.8981886,94.33498,0.7668311,4.0006394,85.96059,10.0387745,Venus,No,C,Time1
126,45.912216,4.679802,49.407978,29.163446,38.17734,32.65921,32.089893,35.714287,32.19582,Venus,Yes,A,Time1
127,42.710243,11.083748,46.206005,29.80426,41.133003,29.062737,10.191668,12.561578,77.24675,Mars,Yes,C,Time1
128,0.2183838,3.6945806,96.087036,45.570503,54.3844,0.04509845,4.1592774,95.812805,0.027919922,Mars,Yes,A,Time1
129,10.220886,9.1132965,80.66581,15.906793,9.605911,74.4873,11.492078,9.1132965,79.39462,Venus,No,A,Time1
130,84.638824,7.639672,7.7215033,10.425415,82.02391,7.5506783,9.185503,9.610107,81.20439,Jupiter,Yes,B,Time1
131,90.97475,4.4334946,4.5917625,29.276804,41.87192,28.851274,90.12368,4.4334946,5.442827,Pluto,Yes,C,Time1
132,1.2996597,5.911331,92.78901,1.6130364,4.4334946,93.95347,5.251025,91.62561,3.1233594,Mars,Yes,B,Time1
133,29.948639,41.37931,28.672049,5.4208093,7.881775,86.69741,2.6433282,4.9261093,92.43056,Pluto,Yes,B,Time1
134,82.185905,10.098526,7.715568,10.329433,10.591133,79.07943,34.04155,41.133003,24.825447,Jupiter,Yes,A,Time1
135,45.28393,28.817734,25.898335,5.6871905,1.2315292,93.081276,1.0073925,10.591133,88.401474,Mars,Yes,A,Time1
136,30.7206,40.14778,29.131615,95.311066,4.187187,0.50174546,32.129547,38.17734,29.693111,Mercury,No,A,Time1
137,51.095062,0.24630737,48.658627,29.80426,41.133003,29.062737,29.065344,42.610836,28.32382,Uranus,No,A,Time1
138,29.942024,39.162563,30.895412,28.08012,44.581284,27.338596,25.635853,40.14778,34.216362,Venus,Yes,C,Time1
139,0.287267,2.7093582,97.00338,4.81491,95.03603,0.14905627,28.779379,40.640396,30.580225,Jupiter,No,A,Time1
140,79.99838,11.083748,8.917871,81.76218,10.098526,8.139296,11.371014,80.54187,8.087116,Uranus,No,C,Time1
141,92.251335,4.4334946,3.3151672,91.75872,5.4187164,2.8225565,5.9228563,91.13301,2.9441357,Mars,No,B,Time1
142,9.789932,89.982285,0.22778565,87.04314,1.2315294,11.725338,97.636345,1.2315292,1.1321168,Jupiter,Yes,C,Time1
143,23.361282,16.256157,60.38257,17.313696,11.330048,71.356255,78.05261,9.852219,12.095167,Venus,No,A,Time1
144,31.046013,40.8867,28.067291,80.85211,9.359604,9.788283,7.22147,87.68472,5.0938034,Mars,No,A,Time1
145,62.938793,26.358887,10.702322,11.605585,20.940165,67.45425,28.786167,43.600266,27.613567,Jupiter,Yes,B,Time1
146,68.804016,10.591133,20.604856,13.587761,76.108376,10.3038645,11.600625,10.591133,77.80824,Venus,Yes,B,Time1
147,77.38713,12.068962,10.543909,12.73404,12.561578,74.70438,30.858364,38.17734,30.96429,Pluto,Yes,C,Time1
148,69.96751,9.852219,20.180271,33.889526,33.497536,32.612934,38.233936,29.064041,32.702023,Venus,No,C,Time1
149,83.94971,9.1132965,6.9369955,7.9248176,8.620689,83.45449,10.070605,83.99014,5.939248,Venus,Yes,C,Time1
150,96.651146,3.2019653,0.1468988,2.1095119,94.82758,3.0629003,98.5527,0.24630737,1.2009989,Mars,No,D,Time1
151,31.48874,35.221672,33.28959,21.7054,53.940887,24.353712,15.854608,80.04926,4.0961304,Uranus,Yes,D,Time1
152,95.162865,0.24630737,4.5908294,0.24969727,21.428576,78.32173,8.907959,85.46798,5.6240625,Jupiter,Yes,C,Time1
153,70.48605,15.517235,13.996701,10.082543,12.068954,77.8485,13.039258,15.517235,71.443504,Mars,No,B,Time1
154,9.7682705,13.550995,76.68073,81.16748,8.624886,10.207639,77.13646,11.580551,11.282997,Jupiter,No,A,Time1
155,24.29579,41.133003,34.57121,82.62842,0.7389221,16.632658,52.201355,26.84729,20.951355,Mars,No,C,Time1
156,45.850544,45.320194,8.829263,74.91878,24.630539,0.45068845,30.68756,39.901478,29.410967,Jupiter,Yes,A,Time1
157,30.159103,42.11823,27.722668,29.735378,42.11823,28.146395,31.075447,41.133003,27.791552,I prefer not to answer,No,B,Time1
158,77.2097,11.576355,11.213942,11.972163,81.034485,6.993355,73.25838,13.546799,13.19482,Jupiter,No,C,Time1
159,40.501846,0.24630737,59.251846,22.383783,38.17734,39.438873,2.1345532,49.01478,48.850666,Mars,No,A,Time1
160,79.51043,11.087952,9.401625,79.577515,10.102722,10.319759,80.85412,10.102722,9.043163,Jupiter,Yes,B,Time1
161,71.77011,10.591133,17.638756,33.46962,37.19212,29.33826,33.143993,32.75862,34.09738,Pluto,No,C,Time1
162,42.084686,16.256157,41.65916,32.48087,54.187195,13.331933,18.529501,68.47291,12.997588,Mars,No,C,Time1
163,12.6422,80.54187,6.8159304,15.345296,11.576355,73.07835,61.54217,17.487686,20.970139,Mars,No,C,Time1
164,4.1592774,95.812805,0.027919922,0.71099746,2.7093582,96.57965,8.865612,90.83845,0.295943,Mercury,Yes,D,Time1
165,28.247107,39.162563,32.59033,14.731622,83.99014,1.2782325,65.00924,1.2315292,33.759235,Mars,Yes,B,Time1
166,3.353418,95.33139,1.3151953,0.047039643,3.2061691,96.74679,3.563448,4.6840057,91.75255,Mars,Yes,B,Time1
167,86.40604,5.911331,7.6826334,3.302588,92.118225,4.5791893,3.6610403,93.10345,3.2355125,Venus,Yes,A,Time1
168,33.853687,34.729065,31.417252,11.6402855,13.054185,75.30554,44.82263,47.53694,7.640425,Mars,No,B,Time1
169,74.20394,9.1132965,16.682758,76.67743,10.098526,13.224041,13.627422,78.57143,7.801152,Pluto,No,A,Time1
170,45.814114,9.1132965,45.07259,29.80426,41.133003,29.062737,0.8884241,3.2019653,95.90961,Jupiter,Yes,B,Time1
171,85.66712,7.38916,6.9437184,11.513466,15.270935,73.2156,67.86291,15.763542,16.373549,Mars,No,C,Time1
172,1.0261748,1.2315292,97.742294,93.685036,3.2019653,3.1130004,0.9468652,96.30542,2.747715,Mars,Yes,C,Time1
173,23.099258,76.354675,0.54606444,21.97149,5.4187164,72.60978,18.508543,81.28079,0.2106665,Venus,Yes,D,Time1
174,90.86713,7.1428604,1.9900111,1.3893799,86.945816,11.6648,34.317078,37.19212,28.490807,Pluto,Yes,B,Time1
175,30.7206,40.14778,29.131615,3.24028,96.718796,0.040928386,3.4308069,3.2019653,93.367226,Pluto,Yes,B,Time1
176,6.742481,10.344826,82.9127,30.194946,40.8867,28.918356,26.455296,45.812805,27.7319,Mars,Yes,B,Time1
177,29.456032,42.364532,28.17944,28.672043,41.37931,29.948647,27.820984,41.37931,30.799706,Mars,Yes,C,Time1
178,0.2580478,6.1576385,93.58432,6.908296,92.85714,0.23456542,2.3214917,97.56891,0.109602965,Venus,No,A,Time1
179,41.075863,25.36946,33.554672,31.695387,32.266006,36.03861,16.631098,59.85222,23.516685,Jupiter,Yes,B,Time1
180,6.3676715,6.650245,86.98208,2.6918836,4.679802,92.62831,50.43547,6.650245,42.914284,Mars,No,A,Time1
181,45.24218,5.172417,49.5854,9.33169,85.46798,5.200332,36.137234,8.128076,55.734695,Jupiter,No,A,Time1
182,5.983601,9.1132965,84.9031,13.627422,78.57143,7.801152,10.700977,81.034485,8.264541,Uranus,Yes,B,Time1
183,50.888424,3.2019653,45.909615,44.94161,54.92611,0.13228515,0.30188233,50.985218,48.712902,Venus,Yes,D,Time1
184,33.331932,54.187195,12.480869,42.77958,21.674881,35.545536,39.778847,25.123156,35.098,Mars,Yes,A,Time1
185,29.075565,44.827587,26.096844,4.1316404,95.566505,0.30185547,19.467558,45.320194,35.212246,Jupiter,No,A,Time1
186,7.361245,89.40887,3.2298877,9.41309,11.576355,79.01055,8.033364,10.098526,81.86811,Venus,Yes,C,Time1
187,38.52741,49.753696,11.718897,29.612202,36.945812,33.441986,12.546905,43.84236,43.610733,Pluto,No,B,Time1
188,86.6695,9.605911,3.7245877,4.405581,95.3202,0.27422363,86.46285,12.561578,0.975567,Jupiter,Yes,C,Time1
189,39.253624,33.25123,27.495146,30.050564,40.640396,29.30904,32.325756,29.310349,38.36389,Mars,No,A,Time1
190,89.49692,7.38916,3.1139302,4.2783804,5.911331,89.810295,4.748972,8.37439,86.87663,Venus,Yes,B,Time1
191,40.161613,47.53694,12.301445,26.52297,42.610836,30.866194,49.471123,20.443352,30.085527,Pluto,No,C,Time1
192,5.669127,8.132278,86.19859,90.43905,3.6987836,5.8621793,87.50538,6.1618423,6.332779,Mars,Yes,A,Time1
193,85.18123,6.650244,8.16852,7.5678906,86.45321,5.978906,85.35865,7.1428604,7.4984856,Mars,No,C,Time1
194,12.27065,10.098526,77.63082,30.61206,38.66995,30.717987,43.144413,16.995071,39.860516,Mars,Yes,A,Time1
195,92.62048,0.24630737,7.133202,92.729034,1.7241365,5.5468297,96.89744,2.7093582,0.39320233,Mars,Yes,A,Time1
196,30.78948,39.162563,30.047956,31.952127,37.684727,30.363146,31.991785,40.14778,27.86043,Venus,No,B,Time1
197,30.7206,40.14778,29.131615,28.710499,41.625614,29.663887,0.15368164,47.04434,52.801983,Mars,No,B,Time1
198,92.94611,4.679802,2.3740823,47.252285,3.69458,49.053135,3.9630554,4.679802,91.35713,Venus,No,B,Time1
199,42.847614,12.073167,45.079224,32.83921,37.196316,29.964474,7.528449,12.073167,80.398384,Pluto,Yes,A,Time1
200,19.421862,80.54187,0.03626709,70.953964,28.325119,0.7209155,3.7355468,95.812805,0.45165038,Mercury,No,A,Time1
201,43.768524,50.492615,5.738865,42.359577,52.463055,5.177368,0.045131836,45.566505,54.388363,Mars,No,A,Time1
202,15.098993,12.068962,72.83204,57.947784,41.625614,0.42659912,9.728277,10.098526,80.1732,Mars,No,A,Time1
203,51.534428,2.4630585,46.002514,11.825799,4.4334946,83.74071,6.943721,7.38916,85.66712,Mars,Yes,A,Time1
204,12.366674,84.48275,3.150571,33.3736,62.80788,3.818518,80.42211,11.083748,8.4941435,Mars,Yes,A,Time1
205,48.55269,0.24630737,51.201004,29.981686,41.625614,28.3927,29.735378,42.11823,28.146395,Mars,No,A,Time1
206,27.478971,44.08867,28.43236,33.67626,34.236458,32.08728,51.449913,1.2315292,47.318554,Mars,No,C,Time1
207,11.057917,3.2019653,85.74012,4.1592774,95.812805,0.027919922,95.51771,1.2315292,3.2507606,Jupiter,No,A,Time1
208,30.78948,39.162563,30.047956,29.873144,40.14778,29.97907,38.533485,25.36946,36.09705,Venus,No,A,Time1
209,6.722519,7.6354675,85.64201,6.545092,7.1428604,86.31205,6.3676715,6.650245,86.98208,Mars,No,A,Time1
210,1.9264168,2.9556656,95.11792,7.624985,91.13301,1.2420069,97.491875,2.4630582,0.045066446,Jupiter,No,A,Time1
211,6.9088235,89.901474,3.1897023,7.437075,7.1428604,85.42007,9.188466,47.04434,43.767197,Mars,Yes,C,Time1
212,80.85412,10.102722,9.043163,11.313159,9.610107,79.07673,81.951454,9.610106,8.438432,Venus,No,C,Time1
213,46.2775,11.576355,42.146145,43.5577,11.083748,45.35855,30.572397,36.206894,33.220707,Mercury,No,A,Time1
214,49.548355,4.187187,46.264458,50.222557,46.059113,3.7183278,7.9916162,86.45321,5.555181,Mars,Yes,A,Time1
215,49.79466,3.69458,46.51076,10.220886,9.1132965,80.66581,9.058242,10.591133,80.350624,Mercury,No,C,Time1
216,42.14876,13.054185,44.79706,44.828884,11.083748,44.087364,37.953205,36.69951,25.34728,Mars,Yes,A,Time1
217,2.1056442,3.4482803,94.446075,4.591757,4.4334946,90.97475,86.15974,6.403938,7.436329,Jupiter,Yes,A,Time1
218,40.042637,40.14778,19.809582,8.475878,0.7389221,90.785194,18.384459,52.95566,28.659878,Pluto,Yes,C,Time1
219,31.843588,36.206894,31.949516,23.79274,36.206894,40.000366,6.937515,89.40887,3.6536183,Mars,No,B,Time1
220,19.60346,23.39901,56.99753,18.419949,13.054185,68.52587,15.804507,71.67488,12.52061,Mars,No,C,Time1
221,5.6371093,92.85714,1.5057518,14.105418,29.310349,56.58423,21.565552,34.729065,43.705387,Venus,No,A,Time1
222,60.716908,1.9704437,37.312653,31.84781,0.98522186,67.16696,57.133423,1.477829,41.388744,Mars,No,A,Time1
223,90.23583,5.911331,3.8528447,5.855781,92.118225,2.0259962,4.5121093,93.10345,2.3844433,Mars,No,A,Time1
